#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
k141_285	1	33630	2112	33630	100	18.8259	31.3	60
k141_273	1	22942	1952	22942	100	25.5104	31.1	59.9
k141_274	1	2590	499	2590	100	24.1965	32.1	21
k141_275	1	1900	228	1900	100	35.4668	31.2	59.6
k141_276	1	1035	233	1035	100	66.0338	31.3	37
k141_301	1	30172	2047	30172	100	20.3412	31	59.9
k141_341	1	939	133	939	100	40.9744	31	50.1
k141_245	1	2132	347	2132	100	21.2284	31.3	24.2
k141_246	1	3330	199	3320	99.6997	17.955	31.1	59.8
k141_24	1	1199	90	1199	100	22.2444	30.2	59.8
k141_397	1	2409	401	2409	100	23.4965	31.2	24.3
k141_95	1	25901	2458	25901	100	28.3276	31.3	59.5
k141_99	1	2041	191	2041	100	27.7634	31	53.5
k141_398	1	37195	2398	37195	100	19.3522	31.1	60
k141_279	1	4197	273	4197	100	19.3581	31.1	59.2
k141_307	1	19212	1207	19212	100	18.83	31.1	59.7
k141_228	1	7294	491	7294	100	20.1163	31.2	60
k141_308	1	18132	1195	18132	100	19.7474	31.1	59.9
k141_313	1	661	23	648	98.0333	10.4372	30.7	51.3
k141_290	1	59116	3909	59116	100	19.8505	31.1	59.9
k141_292	1	939	48	931	99.148	15.295	30	55.1
k141_400	1	13156	875	13156	100	19.9281	31.3	59.9
k141_254	1	45871	3034	45871	100	19.8414	31.1	59.9
k141_358	1	53090	3549	53090	100	20.0687	31.1	60
k141_381	1	58309	3810	58309	100	19.6094	31.1	60
k141_206	1	19488	1255	19488	100	19.3254	31.2	59.9
k141_207	1	2831	361	2831	100	37.9135	30.9	59.8
k141_297	1	1733	115	1733	100	19.3976	30.8	59.7
k141_79	1	43830	3759	43830	100	25.7122	31.2	59.9
k141_426	1	66984	5848	66984	100	25.6274	31.1	58.6
k141_221	1	38663	2565	38663	100	19.9094	31.2	60
k141_388	1	49364	3204	49364	100	19.479	31.1	60
k141_331	1	78310	6559	78310	100	25.0825	31.1	59.9
k141_102	1	83640	5792	83640	100	20.7824	31.1	60
k141_103	1	3707	258	3707	100	20.8325	30.9	59.9
k141_225	1	3966	257	3966	100	19.3891	31.1	59.9
k141_124	1	37495	2461	37495	100	19.7029	31.1	60
k141_128	1	2525	196	2525	100	23.1117	31.3	59
k141_333	1	3496	235	3496	100	20.1319	31	59.8
k141_114	1	79505	5347	79501	99.995	20.1964	31.1	60
k141_370	1	98710	8324	98710	100	25.1927	31.1	59.5
k141_373	1	860	80	860	100	23.0151	29.8	41.9
k141_378	1	1016	110	1016	100	31.7707	30.7	59.2
k141_345	1	78675	5300	78675	100	20.2274	31.1	59.6
k141_404	1	30707	2030	30707	100	19.8107	31.1	60
k141_106	1	14467	1098	14467	100	22.5696	31.1	59.7
k141_118	1	17693	1132	17693	100	19.1213	31.2	59.1
k141_348	1	12489	935	12489	100	22.4072	31.2	59.7
k141_359	1	51226	3401	51217	99.9824	19.9043	31.1	60
k141_263	1	133043	11253	133043	100	25.3873	31.1	60
k141_413	1	123388	11277	123388	100	27.081	31.1	59.6
k141_151	1	101461	6780	101461	100	20.0545	31.1	59.9
k141_152	1	1579	154	1579	100	28.6048	31.5	51
k141_154	1	3868	204	3810	98.5005	15.7559	31.1	58.3
k141_155	1	3732	340	3732	100	27.2267	31.2	59.9
k141_390	1	72177	6048	72177	100	25.1348	31.1	59.9
k141_360	1	4384	347	4384	100	23.6809	30.9	55.6
k141_419	1	114722	9459	114722	100	24.7147	31.1	59.7
k141_436	1	120069	8048	120052	99.9858	19.4266	31.1	57.6
k141_321	1	120040	10181	120040	100	25.4281	31.1	59.8
k141_231	1	116575	7908	116575	100	20.3217	31.1	59.9
k141_393	1	795	35	795	100	13.0352	31.2	56.5
k141_157	1	20805	1330	20805	100	19.1775	31.2	59.9
k141_438	1	1522	170	1522	100	28.5742	31.8	46.4
k141_50	1	173048	11369	173048	100	19.7257	31.2	60
k141_52	1	670	32	670	100	13.5567	32.3	50.6
k141_443	1	164786	10703	164786	100	19.5028	31.1	60
k141_255	1	122757	8252	122757	100	20.176	31.1	59.9
k141_250	1	166330	10963	166330	100	19.7914	31.1	60
k141_394	1	35974	2999	35974	100	25.0296	31.1	59.9
k141_414	1	53266	3566	53266	100	20.0925	31.1	60
k141_233	1	37891	2568	37881	99.9736	20.3454	31	59.9
k141_427	1	127151	8224	127151	100	19.3879	31.1	59.9
k141_53	1	40930	2567	40930	100	18.8248	31.1	60
k141_57	1	1440	130	1440	100	26.5472	31.6	60
k141_144	1	191325	12861	191325	100	20.1826	31.1	60
k141_145	1	530	66	530	100	35.4717	30.6	58
k141_149	1	2123	116	2123	100	16.17	31.6	59.1
k141_446	1	51825	4476	51825	100	25.9208	31.2	60
k141_322	1	141279	9450	141279	100	20.0854	31.1	60
k141_323	1	3632	241	3632	100	19.6112	31	59.5
k141_439	1	95924	8011	95924	100	25.0503	31.1	60
k141_440	1	855	40	855	100	13.4281	30.7	54.2
k141_447	1	9046	585	9046	100	19.2324	31	59.9
k141_448	1	2009	314	2009	100	23.8716	31.1	27.2
k141_429	1	115248	9864	115248	100	25.6752	31.2	60
k141_441	1	344160	29286	344160	100	25.4457	31.1	60
k141_430	1	115378	7529	115378	100	19.5827	31.1	60
k141_432	1	14179	972	14179	100	20.4817	31.2	59.2
k141_449	1	324570	27340	324570	100	25.2712	31.1	60
k141_450	1	475634	39736	475634	100	25.0164	31.1	59.8
