#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
k141_103	1	3707	258	3707	100	20.8325	30.9	59.9
k141_104	1	322	4	322	100	3.31056	33.2	24.2
k141_105	1	367	9	367	100	6.84196	31.7	51.1
k141_225	1	3966	257	3966	100	19.3891	31.1	59.9
k141_124	1	37495	2461	37495	100	19.7029	31.1	60
k141_125	1	448	10	433	96.6518	6.71652	30.9	18
k141_126	1	244	3	54	22.1311	0.557377	27.2	57.3
k141_127	1	322	9	322	100	7.82919	32.4	38.4
k141_128	1	2525	196	2525	100	23.1117	31.3	59
k141_333	1	3496	235	3496	100	20.1319	31	59.8
k141_114	1	79505	5347	79501	99.995	20.1964	31.1	60
k141_116	1	377	11	377	100	6.40849	34.3	59.7
k141_117	1	407	5	320	78.6241	3.24324	33.1	41.6
k141_370	1	98710	8324	98710	100	25.1927	31.1	59.5
k141_371	1	313	1	291	92.9712	0.929712	27	40
k141_372	1	282	2	282	100	1.98227	33.2	10
k141_373	1	860	80	860	100	23.0151	29.8	41.9
k141_374	1	327	16	325	99.3884	13.0153	32.8	58.2
k141_375	1	284	2	284	100	1.98592	34.1	4
k141_377	1	347	1	296	85.3026	0.853026	34.3	33
k141_378	1	1016	110	1016	100	31.7707	30.7	59.2
k141_345	1	78675	5300	78675	100	20.2274	31.1	59.6
k141_346	1	282	6	282	100	5.46099	31.1	43.8
k141_347	1	307	15	307	100	13.3713	31.4	45.3
k141_404	1	30707	2030	30707	100	19.8107	31.1	60
k141_106	1	14467	1098	14467	100	22.5696	31.1	59.7
k141_108	1	305	11	305	100	9.87213	31	17.3
k141_109	1	359	1	301	83.844	0.83844	27	23
k141_118	1	17693	1132	17693	100	19.1213	31.2	59.1
k141_348	1	12489	935	12489	100	22.4072	31.2	59.7
k141_350	1	303	4	301	99.3399	1.67987	21.7	31.8
k141_359	1	51226	3401	51217	99.9824	19.9043	31.1	60
k141_263	1	133043	11253	133043	100	25.3873	31.1	60
k141_413	1	123388	11277	123388	100	27.081	31.1	59.6
k141_151	1	101461	6780	101461	100	20.0545	31.1	59.9
k141_152	1	1579	154	1579	100	28.6048	31.5	51
k141_153	1	329	7	329	100	6.14286	32.1	53.1
k141_154	1	3868	204	3810	98.5005	15.7559	31.1	58.3
k141_155	1	3732	340	3732	100	27.2267	31.2	59.9
k141_390	1	72177	6048	72177	100	25.1348	31.1	59.9
k141_360	1	4384	347	4384	100	23.6809	30.9	55.6
k141_419	1	114722	9459	114722	100	24.7147	31.1	59.7
k141_264	1	422	1	281	66.5877	0.665877	34.7	39
k141_420	1	286	1	249	87.0629	0.870629	25.6	0
k141_266	1	281	10	281	100	9.68327	33.2	14.6
k141_421	1	286	12	286	100	10.6434	32.5	15.6
k141_267	1	324	4	324	100	3.53704	34.3	29.2
k141_422	1	343	3	331	96.5015	2.59767	32.3	17
k141_391	1	281	1	156	55.516	0.55516	30.3	8
k141_269	1	351	26	341	97.151	20.8177	32.2	11.5
k141_436	1	120069	8048	120052	99.9858	19.4266	31.1	57.6
k141_321	1	120040	10181	120040	100	25.4281	31.1	59.8
k141_231	1	116575	7908	116575	100	20.3217	31.1	59.9
k141_232	1	306	1	301	98.366	0.98366	26.7	22
k141_393	1	795	35	795	100	13.0352	31.2	56.5
k141_157	1	20805	1330	20805	100	19.1775	31.2	59.9
k141_437	1	313	2	59	18.8498	0.338658	28.7	18.5
k141_158	1	363	12	363	100	9.21488	31.6	59
k141_438	1	1522	170	1522	100	28.5742	31.8	46.4
k141_50	1	173048	11369	173048	100	19.7257	31.2	60
k141_51	1	270	4	270	100	3.9963	35.1	6
k141_52	1	670	32	670	100	13.5567	32.3	50.6
k141_443	1	164786	10703	164786	100	19.5028	31.1	60
k141_444	1	313	22	313	100	19.9457	32.8	13.2
k141_255	1	122757	8252	122757	100	20.176	31.1	59.9
k141_256	1	309	1	301	97.411	0.97411	26.8	45
k141_257	1	393	26	393	100	18.3486	31.2	19.8
k141_259	1	340	15	337	99.1176	13.1382	30	49.7
k141_250	1	166330	10963	166330	100	19.7914	31.1	60
k141_394	1	35974	2999	35974	100	25.0296	31.1	59.9
k141_414	1	53266	3566	53266	100	20.0925	31.1	60
k141_233	1	37891	2568	37881	99.9736	20.3454	31	59.9
k141_234	1	252	9	252	100	8.64683	31.8	50.2
k141_427	1	127151	8224	127151	100	19.3879	31.1	59.9
k141_53	1	40930	2567	40930	100	18.8248	31.1	60
k141_54	1	357	6	115	32.2129	1.10644	26	15.7
k141_55	1	315	1	244	77.4603	0.774603	31.4	34
k141_56	1	307	11	307	100	9.23779	32.3	12.3
k141_57	1	1440	130	1440	100	26.5472	31.6	60
k141_59	1	342	1	301	88.0117	0.880117	26.5	4
k141_144	1	191325	12861	191325	100	20.1826	31.1	60
k141_145	1	530	66	530	100	35.4717	30.6	58
k141_146	1	364	9	364	100	7.10989	30.5	53.7
k141_147	1	274	8	274	100	6.98905	29.2	27.9
k141_149	1	2123	116	2123	100	16.17	31.6	59.1
k141_446	1	51825	4476	51825	100	25.9208	31.2	60
k141_322	1	141279	9450	141279	100	20.0854	31.1	60
k141_323	1	3632	241	3632	100	19.6112	31	59.5
k141_324	1	293	1	57	19.4539	0.194539	37.5	60
k141_439	1	95924	8011	95924	100	25.0503	31.1	60
k141_440	1	855	40	855	100	13.4281	30.7	54.2
k141_447	1	9046	585	9046	100	19.2324	31	59.9
k141_448	1	2009	314	2009	100	23.8716	31.1	27.2
k141_429	1	115248	9864	115248	100	25.6752	31.2	60
k141_441	1	344160	29286	344160	100	25.4457	31.1	60
k141_430	1	115378	7529	115378	100	19.5827	31.1	60
k141_431	1	244	15	244	100	14.7992	33	54.5
k141_432	1	14179	972	14179	100	20.4817	31.2	59.2
k141_449	1	324570	27340	324570	100	25.2712	31.1	60
k141_450	1	475634	39736	475634	100	25.0164	31.1	59.8
k141_272	1	281	0	0	0	0	0	0
k141_61	1	281	0	0	0	0	0	0
k141_62	1	306	0	0	0	0	0	0
k141_63	1	316	0	0	0	0	0	0
k141_64	1	342	0	0	0	0	0	0
k141_69	1	281	0	0	0	0	0	0
k141_416	1	256	0	0	0	0	0	0
k141_407	1	215	0	0	0	0	0	0
k141_409	1	241	0	0	0	0	0	0
k141_435	1	281	0	0	0	0	0	0
k141_329	1	260	0	0	0	0	0	0
k141_330	1	282	0	0	0	0	0	0
k141_38	1	326	0	0	0	0	0	0
k141_42	1	231	0	0	0	0	0	0
k141_130	1	281	0	0	0	0	0	0
k141_132	1	204	0	0	0	0	0	0
k141_100	1	270	0	0	0	0	0	0
k141_280	1	341	0	0	0	0	0	0
k141_2	1	236	0	0	0	0	0	0
k141_180	1	322	0	0	0	0	0	0
k141_380	1	357	0	0	0	0	0	0
k141_182	1	225	0	0	0	0	0	0
k141_183	1	224	0	0	0	0	0	0
k141_90	1	295	0	0	0	0	0	0
k141_91	1	255	0	0	0	0	0	0
k141_93	1	294	0	0	0	0	0	0
k141_161	1	282	0	0	0	0	0	0
k141_164	1	282	0	0	0	0	0	0
k141_166	1	249	0	0	0	0	0	0
k141_369	1	228	0	0	0	0	0	0
k141_73	1	281	0	0	0	0	0	0
k141_11	1	240	0	0	0	0	0	0
k141_15	1	391	0	0	0	0	0	0
k141_353	1	244	0	0	0	0	0	0
k141_136	1	269	0	0	0	0	0	0
k141_138	1	269	0	0	0	0	0	0
k141_236	1	325	0	0	0	0	0	0
k141_240	1	355	0	0	0	0	0	0
k141_243	1	351	0	0	0	0	0	0
k141_318	1	305	0	0	0	0	0	0
k141_191	1	302	0	0	0	0	0	0
k141_209	1	281	0	0	0	0	0	0
k141_210	1	282	0	0	0	0	0	0
k141_212	1	281	0	0	0	0	0	0
k141_193	1	217	0	0	0	0	0	0
k141_172	1	233	0	0	0	0	0	0
k141_173	1	200	0	0	0	0	0	0
k141_277	1	230	0	0	0	0	0	0
k141_302	1	279	0	0	0	0	0	0
k141_303	1	260	0	0	0	0	0	0
k141_336	1	308	0	0	0	0	0	0
k141_305	1	282	0	0	0	0	0	0
k141_342	1	444	0	0	0	0	0	0
k141_21	1	281	0	0	0	0	0	0
k141_23	1	281	0	0	0	0	0	0
k141_27	1	307	0	0	0	0	0	0
k141_28	1	352	0	0	0	0	0	0
k141_97	1	404	0	0	0	0	0	0
k141_98	1	281	0	0	0	0	0	0
k141_8	1	204	0	0	0	0	0	0
k141_202	1	281	0	0	0	0	0	0
k141_204	1	224	0	0	0	0	0	0
k141_227	1	338	0	0	0	0	0	0
k141_230	1	212	0	0	0	0	0	0
k141_218	1	315	0	0	0	0	0	0
k141_219	1	281	0	0	0	0	0	0
k141_401	1	281	0	0	0	0	0	0
k141_402	1	282	0	0	0	0	0	0
k141_386	1	496	0	0	0	0	0	0
k141_223	1	200	0	0	0	0	0	0
k141_224	1	200	0	0	0	0	0	0
k141_115	1	306	0	0	0	0	0	0
k141_119	1	308	0	0	0	0	0	0
k141_351	1	281	0	0	0	0	0	0
k141_268	1	281	0	0	0	0	0	0
k141_392	1	213	0	0	0	0	0	0
k141_270	1	244	0	0	0	0	0	0
k141_445	1	380	0	0	0	0	0	0
k141_260	1	246	0	0	0	0	0	0
k141_261	1	210	0	0	0	0	0	0
k141_428	1	281	0	0	0	0	0	0
k141_58	1	281	0	0	0	0	0	0
k141_148	1	304	0	0	0	0	0	0
